Country,alcohol_per_capita
Czechia,14.26
Latvia,13.19
Moldova,12.85
Germany,12.79
Lithuania,12.78
Ireland,12.75
Spain,12.67
Uganda,12.48
Bulgaria,12.46
Luxembourg,12.45
Romania,12.34
Andorra,12.26
Montenegro,12.24
France,12.23
Slovenia,12.11
Portugal,12.09
Laos,12.08
Tanzania,12.04
Austria,11.93
Poland,11.89
United Kingdom,11.45
Switzerland,11.23
Hungary,11.07
Slovakia,11.06
Burkina Faso,11.05
Belarus,10.96
Cook Islands,10.94
Belgium,10.8
Cyprus,10.8
Estonia,10.75
New Zealand,10.69
Finland,10.65
Russia,10.5
Greece,10.5
Barbados,10.37
Australia,10.36
Denmark,10.13
Japan,10.09
United States of America,9.97
Niue,9.93
Netherlands,9.67
Saint Lucia,9.59
Georgia,9.47
South Africa,9.45
Argentina,9.45
Antigua and Barbuda,9.4
Iceland,9.21
Sweden,9.04
Grenada,8.96
Chile,8.95
Serbia,8.85
Seychelles,8.84
Canada,8.81
Eswatini,8.78
Croatia,8.73
Thailand,8.5
South Korea,8.45
Ukraine,8.34
Malta,8.27
Gabon,8.08
Italy,8.01
Rwanda,7.96
Vietnam,7.93
Cambodia,7.84
Angola,7.83
Bosnia and Herzegovina,7.81
Panama,7.77
Burundi,7.45
Suriname,7.4
Brazil,7.32
Dominica,7.23
Saint Vincent and the Grenadines,7.15
Norway,7.14
Philippines,7.02
Paraguay,7.01
Uruguay,6.92
Equatorial Guinea,6.92
Albania,6.82
Peru,6.78
Dominican Republic,6.68
Botswana,6.61
Trinidad and Tobago,6.52
North Macedonia,6.43
Belize,6.37
Saint Kitts and Nevis,6.34
Cuba,6.26
Nigeria,6.19
China,6.04
Mongolia,5.9
Sao Tome and Principe,5.8
India,5.61
Guinea-Bissau,5.54
Cameroon,5.52
Colombia,5.45
Liberia,5.37
Guyana,5.33
Sierra Leone,5.31
Lesotho,5.08
Nicaragua,5.07
Mexico,5.05
Kazakhstan,5
Kyrgyzstan,4.85
Bahamas,4.8
Mauritius,4.78
Armenia,4.67
Zimbabwe,4.52
Zambia,4.46
Israel,4.38
Nauru,4.18
North Korea,4.16
Jamaica,4.16
El Salvador,4.09
Malawi,4.08
Costa Rica,4.07
Honduras,3.93
Bolivia,3.91
United Arab Emirates,3.85
Fiji,3.68
Venezuela,3.56
Gambia,3.36
Ecuador,3.27
Namibia,3.15
Turkmenistan,3.09
Ivory Coast,3.04
Haiti,3.02
Sri Lanka,2.87
Samoa,2.82
Ghana,2.78
Maldives,2.78
Mozambique,2.69
Togo,2.66
Uzbekistan,2.61
Micronesia,2.51
Kiribati,2.32
Benin,2.23
Ethiopia,2.2
Kenya,2.15
Myanmar,2.14
Papua New Guinea,2.12
Eritrea,2.11
Vanuatu,2.1
Tunisia,2.04
Singapore,2
Madagascar,1.98
Turkey,1.77
Solomon Islands,1.74
Central African Republic,1.71
Guatemala,1.63
Lebanon,1.53
Qatar,1.51
Mali,1.31
Tuvalu,1.31
Chad,1.26
Comoros,1.15
Bahrain,1.13
DR Congo,1.1
Guinea,1.09
Iran,1.01
Azerbaijan,0.98
Malaysia,0.93
Oman,0.92
Tajikistan,0.88
Senegal,0.73
Algeria,0.63
Nepal,0.62
Timor-Leste,0.53
Niger,0.52
Jordan,0.52
Morocco,0.49
Brunei,0.46
Tonga,0.43
Iraq,0.37
Djibouti,0.36
Pakistan,0.31
Indonesia,0.22
Bhutan,0.21
Syria,0.19
Egypt,0.14
Yemen,0.034
Libya,0.027
Afghanistan,0.013
Bangladesh,0
Saudi Arabia,0
Somalia,0
Mauritania,0
Kuwait,0
