Wine ,Min,Max,Ave,Category
Zinfandel,14%,16%,15%,Very High
Syrah,13%,14%,13.5%,High
Merlot,13%,14%,13.5%,High
Pinot Noir,13.5%,14.5%,14%,High
Sweet Sherry,15%,22%,18.5%,Very High
Cabernet Sauvignon,13.5%,14.5%,14%,High
Sangiovese,12%,14%,13%,Moderately Low 
Pinot Gris,12.5%,13.5%,13%,Moderately Low 
White Zinfandel,12.5%,16%,14.3%,High
Sparking Wine,9%,12%,10.5%,Very Low
Champagne,9%,12%,10.5%,Very Low
Chardonnay,13.5%,14.5%,14%,High
Riesling,12.5%,13.5%,13%,Moderately Low 
Sauvignon Blanc,12.5%,13.5%,13%,Moderately Low 
Pinot Blanc,12.5%,13.5%,13%,Moderately Low 
