Wine ,Measurement,Percentage,Category
Zinfandel,Min,14%,Very High
Zinfandel,Max,16%,Very High
Syrah,Min,13%,High
Syrah,Max,14%,High
Merlot,Min,13%,High
Merlot,Max,14%,High
Pinot Noir,Min,13.50%,High
Pinot Noir,Max,14.50%,High
Sweet Sherry,Min,15%,Very High
Sweet Sherry,Max,22%,Very High
Cabernet Sauvignon,Min,13.50%,High
Cabernet Sauvignon,Max,14.50%,High
Sangiovese,Min,12%,Moderately Low 
Sangiovese,Max,14%,Moderately Low 
Pinot Gris,Min,12.50%,Moderately Low 
Pinot Gris,Max,13.50%,Moderately Low 
White Zinfandel,Min,12.50%,High
White Zinfandel,Max,16%,High
Sparking Wine,Min,9%,Very Low
Sparking Wine,Max,12%,Very Low
Champagne,Min,9%,Very Low
Champagne,Max,12%,Very Low
Chardonnay,Min,13.50%,High
Chardonnay,Max,14.50%,High
Riesling,Min,12.50%,Moderately Low 
Riesling,Max,13.50%,Moderately Low 
Sauvignon Blanc,Min,12.50%,Moderately Low 
Sauvignon Blanc,Max,13.50%,Moderately Low 
Pinot Blanc,Min,12.50%,Moderately Low 
Pinot Blanc,Max,13.50%,Moderately Low 
