Country,Population,Alcohol_consumption_litrespercapita,GDP_per_capita,Continent
Afghanistan,36686788,0.21,2034,Asia
Albania,2877019,7.17,13317,Europe
Algeria,41927008,0.95,11631,Africa
Andorra,75034,11.02,41792,Europe
Angola,31273538,6.94,6934,Africa
Antigua and Barbuda,91644,6.38,21017,North America
Argentina,44413592,9.65,22747,South America
Armenia,2836563,5.55,12715,Asia
Australia,24979228,10.51,49029,Oceania
Austria,8840518,11.96,55258,Europe
Azerbaijan,10152524,4.41,14210,Europe
Bahamas,401911,4.78,36540,North America
Bahrain,1487346,1.09,46389,Asia
Bangladesh,163683952,0.02,4441,Asia
Barbados,279702,9.69,15675,North America
Belarus,9695573,11.45,18975,Europe
Belgium,11448598,11.08,51127,Europe
Belize,382076,6.22,7262,North America
Benin,11940688,2.81,3161,Africa
Bhutan,762104,0.43,11348,Asia
Bolivia,11606906,4.43,8656,South America
Bosnia and Herzegovina,3400132,7.15,14387,Europe
Botswana,2451411,6.59,16222,Africa
Brazil,210166592,7.42,14668,South America
Brunei,30359,0.48,60389,Asia
Bulgaria,7117424,12.65,22206,Europe
Burkina Faso,20392730,12.03,2118,Africa
Burundi,11493476,7.19,762,Africa
Cambodia,16025242,6.64,4159,Asia
Cameroon,25076752,5.65,3712,Africa
Canada,37035260,8.94,48962,North America
Central African Republic,5094795,2.38,933,Africa
Chad,15604213,1.37,1576,Africa
Chile,18701452,9.07,25029,South America
China,1417069440,7.05,15134,Asia
Colombia,49276968,5.74,14315,South America
Comoros,776322,0.69,3073,Africa
Costa Rica,5040738,4.87,20673,North America
Croatia,4160488,9.23,28192,Europe
Cuba,11328243,5.83,8824,North America
Cyprus,1218834,10.81,39977,Europe
Czechia ,10534598,14.45,39933,Europe
Denmark,5766689,10.26,56179,Europe
Djibouti,1057204,0.43,5214,Africa
Dominica,70840,11.18,11528,North America
Dominican Republic,10765532,6.68,17712,North America
Ecuador,17015672,4.2,11562,South America
Egypt,103740768,0.36,11366,Africa
El Salvador,6276340,3.89,8616,North America
Equatorial Guinea,1502102,7.23,20386,Africa
Eritrea,3445380,1.44,396,Africa
Estonia,1322146,9.23,35098,Europe
Eswatini,1160430,10.04,8521,Africa
Ethiopia,111129440,2.36,2104,Africa
Fiji,919002,3.32,13846,Oceania
Finland,5515465,10.78,48050,Europe
France,64277812,12.33,45284,Europe
Gabon,2192013,8.74,14744,Africa
Gambia,2444916,3.55,2158,Africa
Georgia,3772323,8.25,14253,Europe
Germany,82896696,12.91,53487,Europe
Ghana,30870648,2.75,5315,Africa
Greece,10633275,10.18,29141,Europe
Grenada,121853,9.48,16827,North America
Guatemala,16850176,2.45,8462,North America
Guinea,12554871,1.11,2500,Africa
Guinea-Bissau,1924954,5.38,1902,Africa
Guyana,785518,6.89,12478,South America
Haiti,11012427,2.73,3165,North America
Honduras,9792854,3.76,5680,North America
Hungary,9776361,11.35,31122,Europe
Iceland,352951,9.12,56818,Europe
India,1369003264,5.54,6519,Asia
Indonesia,267066848,0.57,11372,Asia
Iran,85617560,1.03,13472,Asia
